Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Eastern Cape;Shoplifting;6045;5654;5408;4645;4711;4896;3266;3007;3768;4189
Eastern Cape;Other serious crime;37188;35238;36461;34256;36271;37480;32999;36542;39503;38735
Eastern Cape;17 Community reported serious crime;172562;166077;167892;163189;169300;168322;146280;156876;166684;162473
Eastern Cape;Illegal possession of firearms and ammunition;1719;1773;2045;2142;1995;2156;1685;1688;2038;1886
Eastern Cape;Drug-related crime;16038;16129;17710;18936;15213;13343;9780;9561;11135;10472
Eastern Cape;Driving under the influence of alcohol or drugs;6946;6547;6090;5648;5269;5293;1936;3517;2970;4450
Eastern Cape;Sexual offences detected as a result of police action;219;262;337;275;81;77;26;23;18;20
Eastern Cape;Crime detected as a result of police action;24922;24711;26182;27001;22558;20869;13427;14789;16161;16828
Eastern Cape;Kidnapping;407;424;387;374;486;557;520;619;784;848
Free State;Murder;943;993;950;1054;1000;939;834;992;979;996
Free State;Sexual offences;4094;3928;3488;3284;3457;3746;2971;3416;3415;3625
Free State;Attempted murder;816;787;694;617;844;736;727;890;1326;1746
Free State;Assault with the intent to inflict grievous bodily harm;13458;13116;11702;10842;11120;10887;9550;10933;12030;13071
Free State;Common assault;15243;15194;13568;12701;13032;12649;12184;14006;15541;15708
Free State;Common robbery;2521;2304;2192;2195;2087;1983;1410;1738;1945;2167
Free State;Robbery with aggravating circumstances;5239;4778;5147;5032;5339;5119;3992;4381;4603;4943
Free State;Contact crime (Crimes against the person);42314;41100;37741;35725;36879;36059;31668;36356;39839;42256
Free State;Rape;3290;3059;2702;2573;2646;2936;2258;2595;2671;2841
Free State;Sexual assault;441;484;474;435;517;540;489;567;488;497
Free State;Attempted sexual offences;208;232;154;153;173;163;140;157;163;221
Free State;Contact sexual offences;155;153;158;123;121;107;84;97;93;66
Free State;Carjacking;270;258;234;235;236;241;199;230;271;266
""
Free State;Robbery at non-residential premises;852;756;973;886;955;876;796;831;871;743
Free State;TRIO Crime;1840;1787;2082;1985;2042;1842;1705;1787;1780;1768
Free State;Robbery of cash in transit;9;5;12;17;8;12;2;11;7;4
Free State;Bank robbery;2;0;0;2;0;0;0;1;0;0
Free State;Truck hijacking;89;65;41;32;39;44;45;77;53;60
Free State;Arson;287;265;186;164;123;148;127;171;142;169
Free State;Malicious damage to property;7655;7551;6652;6068;5993;5592;5642;6635;6985;6606
Free State;Contact-related crime;7942;7816;6838;6232;6116;5740;5769;6806;7127;6775
Free State;Burglary at non-residential premises;4875;5210;5011;4963;5171;5417;4751;4233;5008;4568
Free State;Burglary at residential premises;15618;15323;14635;13463;13244;12494;10241;11008;11659;10408
Free State;Theft of motor vehicle and motorcycle;1743;1745;1588;1596;1413;1344;836;865;793;713
Free State;Theft out of or from motor vehicle;5399;4878;4822;4599;4884;4527;3481;3535;4147;4277
Free State;Stock-theft;3527;3466;3677;4032;4066;3785;3317;3259;3024;2911
Free State;Property-related crime;31162;30622;29733;28653;28778;27567;22626;22900;24631;22877
Free State;All theft not mentioned elsewhere;17180;16341;15623;13604;14989;14584;12375;15040;16985;16330
Free State;Commercial crime;3806;3986;4511;3756;4162;4255;4074;4698;4351;4417
Free State;Shoplifting;3148;3175;3214;2875;2855;2792;2259;2137;2513;2590
Free State;Other serious crime;24134;23502;23348;20235;22006;21631;18708;21875;23849;23337
""
Free State;Illegal possession of firearms and ammunition;442;469;527;570;513;416;331;468;563;564
Free State;Drug-related crime;8776;9623;11314;12176;7888;3989;3379;4143;5607;6118
Free State;Driving under the influence of alcohol or drugs;1976;2448;2828;2824;3000;3207;1937;2330;2468;3165
Free State;Sexual offences detected as a result of police action;193;251;346;441;506;701;604;818;1184;1620
Free State;Crime detected as a result of police action;11387;12791;15015;16011;11907;8313;6251;7759;9822;11467
Free State;Kidnapping;211;252;233;206;235;419;289;377;538;667
