Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Northern Cape;Robbery at non-residential premises;240;258;304;299;332;198;225;211;269;205
Northern Cape;TRIO Crime;378;411;475;495;528;364;396;375;464;422
Northern Cape;Robbery of cash in transit;0;1;0;1;1;1;0;2;1;0
Northern Cape;Bank robbery;1;0;0;0;0;0;0;0;0;0
Northern Cape;Truck hijacking;0;2;0;3;4;1;3;0;2;4
Northern Cape;Arson;172;172;149;156;162;137;121;179;196;188
Northern Cape;Malicious damage to property;3209;3084;2954;2927;3243;3104;3034;3614;4077;3798
Northern Cape;Contact-related crime;3381;3256;3103;3083;3405;3241;3155;3793;4273;3986
Northern Cape;Burglary at non-residential premises;2270;2203;2403;2172;2722;2315;2344;2352;2759;2343
Northern Cape;Burglary at residential premises;6204;6469;6518;6228;6325;6208;5543;5280;6363;5623
Northern Cape;Theft of motor vehicle and motorcycle;327;246;219;233;215;214;134;172;162;145
Northern Cape;Theft out of or from motor vehicle;2898;2962;2911;2609;2845;2739;2186;2117;2227;2183
Northern Cape;Stock-theft;1331;1332;1356;1558;1313;1259;1221;861;987;974
Northern Cape;Property-related crime;13030;13212;13407;12800;13420;12735;11428;10782;12498;11268
Northern Cape;All theft not mentioned elsewhere;7437;7316;7104;6871;7492;7804;6457;7286;8652;7591
Northern Cape;Commercial crime;997;1037;1108;1097;1088;1188;1186;1666;1872;2100
Northern Cape;Shoplifting;1360;1276;1407;1309;1344;1546;1134;990;1345;1449
""
Northern Cape;17 Community reported serious crime;45082;45068;44234;42540;44640;44105;38669;41364;47514;46402
Northern Cape;Illegal possession of firearms and ammunition;102;92;102;103;99;70;81;70;70;57
Northern Cape;Drug-related crime;3527;4344;5136;5563;3813;2620;2108;1969;2579;2945
Northern Cape;Driving under the influence of alcohol or drugs;804;725;797;812;652;620;398;443;251;436
Northern Cape;Sexual offences detected as a result of police action;3;22;49;17;9;6;7;5;3;5
Northern Cape;Crime detected as a result of police action;4436;5183;6084;6495;4573;3316;2594;2487;2903;3443
Northern Cape;Kidnapping;47;64;71;64;61;69;65;70;98;165
Western Cape;Murder;3186;3224;3311;3729;3974;3975;3848;4109;4150;4544
Western Cape;Sexual offences;7369;7130;7115;7075;7043;7303;6437;7163;7294;7082
Western Cape;Attempted murder;3727;3444;3387;3698;3860;3555;4143;3669;3594;4479
Western Cape;Assault with the intent to inflict grievous bodily harm;26200;25539;24417;23583;24488;23753;19452;21901;23540;23977
Western Cape;Common assault;39150;41304;39868;38579;39202;38992;33857;37702;41800;42861
Western Cape;Common robbery;13420;12485;12574;12003;11355;11381;7354;8221;10080;11003
Western Cape;Robbery with aggravating circumstances;23116;23732;24032;24329;24065;24549;19050;19292;22441;24679
Western Cape;Contact crime (Crimes against the person);116168;116858;114704;112996;113987;113508;94141;102057;112899;118625
Western Cape;Rape;4951;4800;4771;4744;4649;4877;4442;4843;5029;4825
Western Cape;Sexual assault;1640;1576;1670;1710;1757;1910;1440;1627;1674;1625
Western Cape;Attempted sexual offences;409;437;365;372;341;274;321;389;406;429
Western Cape;Contact sexual offences;369;317;309;249;296;242;234;304;185;203
Western Cape;Carjacking;1530;2032;2201;2182;2294;2760;2630;2562;3096;3203
Western Cape;Robbery at residential premises;2158;2574;2560;2787;2749;2414;2742;2667;2368;2422
Western Cape;Robbery at non-residential premises;2218;1973;1889;2033;1689;1879;1567;1610;1582;1429
""
Western Cape;Robbery of cash in transit;15;24;35;26;15;12;17;14;11;10
Western Cape;Bank robbery;1;0;0;1;0;0;0;7;0;1
Western Cape;Truck hijacking;62;46;58;121;117;129;173;93;106;93
Western Cape;Arson;782;757;781;762;842;749;674;711;711;693
Western Cape;Malicious damage to property;29289;29217;29216;28001;28514;27088;24218;26339;27860;28089
Western Cape;Contact-related crime;30071;29974;29997;28763;29356;27837;24892;27050;28571;28782
Western Cape;Burglary at non-residential premises;13719;13344;12535;11379;10711;10440;9612;8209;8360;8135
Western Cape;Burglary at residential premises;47783;47569;46043;42662;39418;36056;27265;26291;28175;27020
Western Cape;Theft of motor vehicle and motorcycle;8918;8378;7381;7104;6791;6359;4511;4732;4956;5216
Western Cape;Theft out of or from motor vehicle;42221;41458;37910;35532;34120;32471;22426;21532;24076;24653
Western Cape;Stock-theft;831;861;885;953;975;1011;925;722;690;729
Western Cape;Property-related crime;113472;111610;104754;97630;92015;86337;64739;61486;66257;65753
Western Cape;All theft not mentioned elsewhere;97396;92032;85957;79975;77465;67827;49928;57543;64565;59302
Western Cape;Commercial crime;10408;10986;11725;12109;13451;13599;13294;18415;21293;25162
Western Cape;Shoplifting;14421;13492;14557;13738;12931;13165;10378;9004;10063;10660
Western Cape;Other serious crime;122225;116510;112239;105822;103847;94591;73600;84962;95921;95124
Western Cape;17 Community reported serious crime;381936;374952;361694;345211;339205;322273;257372;275555;303648;308284
""
Western Cape;Drug-related crime;88731;93996;107379;117157;81344;62708;44621;60235;67063;72382
Western Cape;Driving under the influence of alcohol or drugs;13224;11725;12895;12776;12561;12340;3760;5730;9256;9427
Western Cape;Sexual offences detected as a result of police action;129;242;274;166;169;165;99;33;41;32
Western Cape;Crime detected as a result of police action;105043;108782;123477;133521;97223;78174;50998;68641;79156;84679
Western Cape;Kidnapping;624;748;612;644;674;748;843;1028;952;1060
Limpopo;Property-related crime;31591;32015;31154;28632;28468;28449;22993;23440;24503;24108
Mpumalanga;Robbery at non-residential premises;1367;1564;1765;1625;1758;1783;1662;1978;1947;1609
Western Cape;Malicious damage to property;29289;29217;29216;28001;28514;27088;24218;26339;27860;28089
Western Cape;17 Community reported serious crime;381936;374952;361694;345211;339205;322273;257372;275555;303648;308284
""
Free State;Theft of motor vehicle and motorcycle;1743;1745;1588;1596;1413;1344;836;865;793;713
KwaZulu-Natal;Sexual assault;1138;1157;1039;1148;1266;1367;1172;1294;1140;1303
Republic of South Africa;TRIO Crime;52224;55120;59740;58612;58448;59943;55831;62767;65821;64941
""
Eastern Cape;Commercial crime;5546;6155;6567;6437;7283;8396;8665;10140;10295;11786
Gauteng;Stock-theft;801;818;987;998;994;988;1020;886;1112;908
""
